Verilator Statistics Report

Information:
  Verilator 4.210 2021-07-07 rev v4.210
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=31 +define+BENCHMARK=0 -I/home/tela/Arch2025/lab2/build/../vsrc --x-assign unique -O3 -CFLAGS -g -std=c++2a -static -Wall -I/home/tela/Arch2025/lab2/difftest/src/test/csrc -I/home/tela/Arch2025/lab2/difftest/src/test/csrc/common -I/home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 --trace-fst --trace-structs --no-trace-params -y ../vsrc/ram -o /home/tela/Arch2025/lab2/build/emu -Mdir ../build/emu-compile ../build/../vsrc/SimTop.sv ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/ram.sv ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/ref.v ./src/test/vsrc/common/difftest.v /home/tela/Arch2025/lab2/difftest/src/test/csrc/verilator/main.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/verilator/emu.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/verilator/snapshot.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/vcs/main.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/sdcard.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/keyboard.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/flash.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/remote_bitbang.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/SimJTAG.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/axi4.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/vga.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/common.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/compress.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/uart.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/ram.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/device.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/difftest.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/spikedasm.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/goldenmem.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/ref.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/interface.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/sdcard.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/keyboard.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/flash.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/remote_bitbang.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/SimJTAG.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/axi4.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/vga.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/common.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/compress.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/uart.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/ram.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/common/device.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/difftest.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/spikedasm.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/goldenmem.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/ref.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/interface.cpp /home/tela/Arch2025/lab2/difftest/src/test/csrc/difftest/nemuproxy.cpp
  Vars, width     1 io_uart_in_valid                                         1          1          1
  Vars, width     1 io_uart_out_valid                                        1          1          1
  Vars, width     1 isRVC                                                    2          2          2          2
  Vars, width     1 jtag_TCK                                                 2          2          2
  Vars, width     1 jtag_TDI                                                 2          2          2
  Vars, width     1 jtag_TDO                                                 2          2          2
  Vars, width     1 jtag_TMS                                                 2          2          2
  Vars, width     1 jtag_TRSTn                                               2          2          2
  Vars, width     1 ptwResp                                                  2          2          2
  Vars, width     1 reset                                                    1          1          1
  Vars, width     1 sbufferResp                                              2          2          2
  Vars, width     1 scFailed                                                 2          2          2          2
  Vars, width     1 skip                                                     2          2          2          2
  Vars, width     1 valid                                                    8          8          8          4
  Vars, width     1 wen                                                      4          4          4          2
  Vars, width     2 SimTop.ram.state                                         1          1          1
  Vars, width     2 __Vdly__SimTop.ram.state                                 1          1          1          1
  Vars, width     3 SimTop.core.memory.msize                                 1          1          1
  Vars, width     4 SimTop.ram.size                                          1          1          1
  Vars, width     4 __Vdly__SimTop.ram.size                                  1          1          1          1
  Vars, width     8 SimTop.core.memory.strobe                                1          1          1
  Vars, width     8 SimTop.ram.count_down                                    1          1          1
  Vars, width     8 __Vdly__SimTop.ram.count_down                            1          1          1          1
  Vars, width     8 atomicFuop                                               2          2          2
  Vars, width     8 atomicMask                                               2          2          2
  Vars, width     8 cmd                                                      2          2          2
  Vars, width     8 code                                                     2          2          2          2
  Vars, width     8 coreid                                                  22         22         22          8
  Vars, width     8 fuType                                                   2          2          2
  Vars, width     8 index                                                    6          6          6          2
  Vars, width     8 io_uart_in_ch                                            1          1          1
  Vars, width     8 io_uart_out_ch                                           1          1          1
  Vars, width     8 level                                                    2          2          2
  Vars, width     8 mask                                                     2          2          2
  Vars, width     8 opType                                                   2          2          2
  Vars, width     8 priviledgeMode                                           2          2          2          2
  Vars, width     8 pte_helper__Vfuncrtn                                     1          1          1
  Vars, width     8 sbufferData_0                                            2          2          2
  Vars, width     8 sbufferData_1                                            2          2          2
  Vars, width     8 sbufferData_10                                           2          2          2
  Vars, width     8 sbufferData_11                                           2          2          2
  Vars, width     8 sbufferData_12                                           2          2          2
  Vars, width     8 sbufferData_13                                           2          2          2
  Vars, width     8 sbufferData_14                                           2          2          2
  Vars, width     8 sbufferData_15                                           2          2          2
  Vars, width     8 sbufferData_16                                           2          2          2
  Vars, width     8 sbufferData_17                                           2          2          2
  Vars, width     8 sbufferData_18                                           2          2          2
  Vars, width     8 sbufferData_19                                           2          2          2
  Vars, width     8 sbufferData_2                                            2          2          2
  Vars, width     8 sbufferData_20                                           2          2          2
  Vars, width     8 sbufferData_21                                           2          2          2
  Vars, width     8 sbufferData_22                                           2          2          2
  Vars, width     8 sbufferData_23                                           2          2          2
  Vars, width     8 sbufferData_24                                           2          2          2
  Vars, width     8 sbufferData_25                                           2          2          2
  Vars, width     8 sbufferData_26                                           2          2          2
  Vars, width     8 sbufferData_27                                           2          2          2
  Vars, width     8 sbufferData_28                                           2          2          2
  Vars, width     8 sbufferData_29                                           2          2          2
  Vars, width     8 sbufferData_3                                            2          2          2
  Vars, width     8 sbufferData_30                                           2          2          2
  Vars, width     8 sbufferData_31                                           2          2          2
  Vars, width     8 sbufferData_32                                           2          2          2
  Vars, width     8 sbufferData_33                                           2          2          2
  Vars, width     8 sbufferData_34                                           2          2          2
  Vars, width     8 sbufferData_35                                           2          2          2
  Vars, width     8 sbufferData_36                                           2          2          2
  Vars, width     8 sbufferData_37                                           2          2          2
  Vars, width     8 sbufferData_38                                           2          2          2
  Vars, width     8 sbufferData_39                                           2          2          2
  Vars, width     8 sbufferData_4                                            2          2          2
  Vars, width     8 sbufferData_40                                           2          2          2
  Vars, width     8 sbufferData_41                                           2          2          2
  Vars, width     8 sbufferData_42                                           2          2          2
  Vars, width     8 sbufferData_43                                           2          2          2
  Vars, width     8 sbufferData_44                                           2          2          2
  Vars, width     8 sbufferData_45                                           2          2          2
  Vars, width     8 sbufferData_46                                           2          2          2
  Vars, width     8 sbufferData_47                                           2          2          2
  Vars, width     8 sbufferData_48                                           2          2          2
  Vars, width     8 sbufferData_49                                           2          2          2
  Vars, width     8 sbufferData_5                                            2          2          2
  Vars, width     8 sbufferData_50                                           2          2          2
  Vars, width     8 sbufferData_51                                           2          2          2
  Vars, width     8 sbufferData_52                                           2          2          2
  Vars, width     8 sbufferData_53                                           2          2          2
  Vars, width     8 sbufferData_54                                           2          2          2
  Vars, width     8 sbufferData_55                                           2          2          2
  Vars, width     8 sbufferData_56                                           2          2          2
  Vars, width     8 sbufferData_57                                           2          2          2
  Vars, width     8 sbufferData_58                                           2          2          2
  Vars, width     8 sbufferData_59                                           2          2          2
  Vars, width     8 sbufferData_6                                            2          2          2
  Vars, width     8 sbufferData_60                                           2          2          2
  Vars, width     8 sbufferData_61                                           2          2          2
  Vars, width     8 sbufferData_62                                           2          2          2
  Vars, width     8 sbufferData_63                                           2          2          2
  Vars, width     8 sbufferData_7                                            2          2          2
  Vars, width     8 sbufferData_8                                            2          2          2
  Vars, width     8 sbufferData_9                                            2          2          2
  Vars, width     8 storeMask                                                2          2          2
  Vars, width     8 wdest                                                    2          2          2          2
  Vars, width    16 SimTop.core.decode.ctl                                   1          1          1
  Vars, width    32 SimTop.core.execute.alu.half                             1          1          1
  Vars, width    32 SimTop.core.raw_instr                                    1          1          1
  Vars, width    32 SimTop.mux.index                                         1          1          1
  Vars, width    32 SimTop.mux.select                                        1          1          1
  Vars, width    32 SimTop.mux.unnamedblk1.i                                 1          1          1
  Vars, width    32 SimTop.mux.unnamedblk2.i                                 1          1          1
  Vars, width    32 __Vdly__SimTop.mux.index                                 1
  Vars, width    32 __Vfunc_get_switch__5__Vfuncout                          1          1          1
  Vars, width    32 __Vilp                                                                         1          1
  Vars, width    32 cause                                                    2          2          2
  Vars, width    32 get_switch__Vfuncrtn                                     1          1          1
  Vars, width    32 instr                                                    2          2          2          2
  Vars, width    32 intrNo                                                   2          2          2
  Vars, width    32 jtag_tick__Vfuncrtn                                      1          1          1
  Vars, width    34 SimTop.iresp                                             1          1          1
  Vars, width    64 SimTop.core.__Vcellout__regfile__rd1                     1          1          1
  Vars, width    64 SimTop.core.execute.alu_a                                1          1          1
  Vars, width    64 SimTop.core.execute.alu_b                                1          1          1
  Vars, width    64 SimTop.core.memory.readdata                              1          1          1
  Vars, width    64 SimTop.core.memory.writedata                             1          1          1
  Vars, width    64 SimTop.core.pc                                           1          1          1
  Vars, width    64 SimTop.core.pc_nxt                                       1          1          1
  Vars, width    64 SimTop.ram.addr                                          1          1          1
  Vars, width    64 SimTop.ram.cyc_cnt                                       1          1          1
  Vars, width    64 SimTop.ram.idx                                           1          1          1
  Vars, width    64 SimTop.ram.ms_cnt                                        1          1          1
  Vars, width    64 SimTop.ram.mtime                                         1          1          1
  Vars, width    64 SimTop.ram.mtimecmp                                      1          1          1
  Vars, width    64 SimTop.ram.wmask                                         1          1          1
  Vars, width    64 SimTop.ram.wrap1                                         1          1          1
  Vars, width    64 SimTop.ram.wrap2                                         1          1          1
  Vars, width    64 __Vdly__SimTop.core.pc                                   1
  Vars, width    64 __Vdly__SimTop.ram.addr                                  1          1          1          1
  Vars, width    64 __Vdly__SimTop.ram.cyc_cnt                               1          1          1          1
  Vars, width    64 __Vdly__SimTop.ram.ms_cnt                                1          1          1          1
  Vars, width    64 __Vdly__SimTop.ram.mtime                                 1          1          1          1
  Vars, width    64 __Vdly__SimTop.ram.mtimecmp                              1          1          1          1
  Vars, width    64 __Vdly__SimTop.ram.wrap1                                 1
  Vars, width    64 __Vdly__SimTop.ram.wrap2                                 1
  Vars, width    64 __Vfunc_ram_read_helper__6__Vfuncout                     1          1          1
  Vars, width    64 addr                                                     2          2          2
  Vars, width    64 amo_helper__Vfuncrtn                                     1          1          1
  Vars, width    64 atomicAddr                                               2          2          2
  Vars, width    64 atomicData                                               2          2          2
  Vars, width    64 atomicOut                                                2          2          2
  Vars, width    64 cycleCnt                                                 2          2          2          2
  Vars, width    64 exceptionPC                                              2          2          2
  Vars, width    64 fpr_0                                                    2          2          2
  Vars, width    64 fpr_1                                                    2          2          2
  Vars, width    64 fpr_10                                                   2          2          2
  Vars, width    64 fpr_11                                                   2          2          2
  Vars, width    64 fpr_12                                                   2          2          2
  Vars, width    64 fpr_13                                                   2          2          2
  Vars, width    64 fpr_14                                                   2          2          2
  Vars, width    64 fpr_15                                                   2          2          2
  Vars, width    64 fpr_16                                                   2          2          2
  Vars, width    64 fpr_17                                                   2          2          2
  Vars, width    64 fpr_18                                                   2          2          2
  Vars, width    64 fpr_19                                                   2          2          2
  Vars, width    64 fpr_2                                                    2          2          2
  Vars, width    64 fpr_20                                                   2          2          2
  Vars, width    64 fpr_21                                                   2          2          2
  Vars, width    64 fpr_22                                                   2          2          2
  Vars, width    64 fpr_23                                                   2          2          2
  Vars, width    64 fpr_24                                                   2          2          2
  Vars, width    64 fpr_25                                                   2          2          2
  Vars, width    64 fpr_26                                                   2          2          2
  Vars, width    64 fpr_27                                                   2          2          2
  Vars, width    64 fpr_28                                                   2          2          2
  Vars, width    64 fpr_29                                                   2          2          2
  Vars, width    64 fpr_3                                                    2          2          2
  Vars, width    64 fpr_30                                                   2          2          2
  Vars, width    64 fpr_31                                                   2          2          2
  Vars, width    64 fpr_4                                                    2          2          2
  Vars, width    64 fpr_5                                                    2          2          2
  Vars, width    64 fpr_6                                                    2          2          2
  Vars, width    64 fpr_7                                                    2          2          2
  Vars, width    64 fpr_8                                                    2          2          2
  Vars, width    64 fpr_9                                                    2          2          2
  Vars, width    64 gpr_0                                                    2          2          2          2
  Vars, width    64 gpr_1                                                    2          2          2          2
  Vars, width    64 gpr_10                                                   2          2          2          2
  Vars, width    64 gpr_11                                                   2          2          2          2
  Vars, width    64 gpr_12                                                   2          2          2          2
  Vars, width    64 gpr_13                                                   2          2          2          2
  Vars, width    64 gpr_14                                                   2          2          2          2
  Vars, width    64 gpr_15                                                   2          2          2          2
  Vars, width    64 gpr_16                                                   2          2          2          2
  Vars, width    64 gpr_17                                                   2          2          2          2
  Vars, width    64 gpr_18                                                   2          2          2          2
  Vars, width    64 gpr_19                                                   2          2          2          2
  Vars, width    64 gpr_2                                                    2          2          2          2
  Vars, width    64 gpr_20                                                   2          2          2          2
  Vars, width    64 gpr_21                                                   2          2          2          2
  Vars, width    64 gpr_22                                                   2          2          2          2
  Vars, width    64 gpr_23                                                   2          2          2          2
  Vars, width    64 gpr_24                                                   2          2          2          2
  Vars, width    64 gpr_25                                                   2          2          2          2
  Vars, width    64 gpr_26                                                   2          2          2          2
  Vars, width    64 gpr_27                                                   2          2          2          2
  Vars, width    64 gpr_28                                                   2          2          2          2
  Vars, width    64 gpr_29                                                   2          2          2          2
  Vars, width    64 gpr_3                                                    2          2          2          2
  Vars, width    64 gpr_30                                                   2          2          2          2
  Vars, width    64 gpr_31                                                   2          2          2          2
  Vars, width    64 gpr_4                                                    2          2          2          2
  Vars, width    64 gpr_5                                                    2          2          2          2
  Vars, width    64 gpr_6                                                    2          2          2          2
  Vars, width    64 gpr_7                                                    2          2          2          2
  Vars, width    64 gpr_8                                                    2          2          2          2
  Vars, width    64 gpr_9                                                    2          2          2          2
  Vars, width    64 instrCnt                                                 2          2          2          2
  Vars, width    64 io_logCtrl_log_begin                                     1          1          1
  Vars, width    64 io_logCtrl_log_end                                       1          1          1
  Vars, width    64 io_logCtrl_log_level                                     1          1          1
  Vars, width    64 line                                                     2          2          2
  Vars, width    64 mcause                                                   2          2          2          2
  Vars, width    64 medeleg                                                  2          2          2          2
  Vars, width    64 mepc                                                     2          2          2          2
  Vars, width    64 mideleg                                                  2          2          2          2
  Vars, width    64 mie                                                      2          2          2          2
  Vars, width    64 mip                                                      2          2          2          2
  Vars, width    64 mscratch                                                 2          2          2          2
  Vars, width    64 mstatus                                                  2          2          2          2
  Vars, width    64 mtval                                                    2          2          2          2
  Vars, width    64 mtvec                                                    2          2          2          2
  Vars, width    64 paddr                                                    2          2          2
  Vars, width    64 pc                                                       4          4          4          4
  Vars, width    64 pte                                                      2          2          2
  Vars, width    64 ptwAddr                                                  2          2          2
  Vars, width    64 ptwData_0                                                2          2          2
  Vars, width    64 ptwData_1                                                2          2          2
  Vars, width    64 ptwData_2                                                2          2          2
  Vars, width    64 ptwData_3                                                2          2          2
  Vars, width    64 rIdx                                                     2          2          2
  Vars, width    64 ram_read_helper__Vfuncrtn                                1          1          1
  Vars, width    64 satp                                                     4          4          4          2
  Vars, width    64 sbufferAddr                                              2          2          2
  Vars, width    64 sbufferMask                                              2          2          2
  Vars, width    64 scause                                                   2          2          2          2
  Vars, width    64 sepc                                                     2          2          2          2
  Vars, width    64 sscratch                                                 2          2          2          2
  Vars, width    64 sstatus                                                  2          2          2          2
  Vars, width    64 storeAddr                                                2          2          2
  Vars, width    64 storeData                                                2          2          2
  Vars, width    64 stval                                                    2          2          2          2
  Vars, width    64 stvec                                                    2          2          2          2
  Vars, width    64 vpn                                                      2          2          2
  Vars, width    64 wIdx                                                     2          2          2
  Vars, width    64 wdata                                                    6          6          6          2
  Vars, width    64 wmask                                                    2          2          2
  Vars, width    65 SimTop.ireq                                              1          1          1
  Vars, width    65 __Vdly__SimTop.ireq                                      1          1          1          1
  Vars, width    66 SimTop.dresp                                             1          1          1
  Vars, width    66 SimTop.icvt.dresp                                        1          1          1
  Vars, width    66 SimTop.mux.__Vlvbound4                                   1          1          1
  Vars, width    66 SimTop.oresp                                             1          1          1
  Vars, width    96 __Vtemp11                                                                      1          1
  Vars, width    97 SimTop.core.dataF                                        1          1          1
  Vars, width    97 SimTop.core.dataF_nxt                                    1          1          1
  Vars, width    97 SimTop.core.saved_dataF                                  1          1          1
  Vars, width    97 __Vdly__SimTop.core.dataF_nxt                            1
  Vars, width    97 __Vdly__SimTop.core.saved_dataF                          1
  Vars, width   128 __Vtemp2                                                                       1          1
  Vars, width   132 SimTop.__Vcellout__mux__iresps                           1          1          1
  Vars, width   140 SimTop.dreq                                              1          1          1
  Vars, width   151 SimTop.dcreq                                             1          1          1
  Vars, width   151 SimTop.icreq                                             1          1          1
  Vars, width   151 SimTop.mux.__Vxrand1                                     1          1          1
  Vars, width   151 SimTop.mux.__Vxrand2                                     1          1          1
  Vars, width   151 SimTop.mux.saved_req                                     1          1          1
  Vars, width   151 SimTop.mux.selected_req                                  1          1          1
  Vars, width   151 SimTop.oreq                                              1          1          1
  Vars, width   151 SimTop.ram.saved_oreq                                    1          1          1
  Vars, width   151 __Vdly__SimTop.mux.saved_req                             1
  Vars, width   151 __Vdly__SimTop.ram.saved_oreq                            1          1          1          1
  Vars, width   160 __Vtemp19                                                                      1          1
  Vars, width   160 __Vtemp221                                                                     1
  Vars, width   160 __Vtemp78                                                                      1          1
  Vars, width   214 SimTop.core.dataE                                        1          1          1
  Vars, width   214 SimTop.core.dataE_nxt                                    1          1          1
  Vars, width   214 SimTop.core.dataM                                        1          1          1
  Vars, width   214 SimTop.core.dataM_nxt                                    1          1          1
  Vars, width   214 SimTop.core.dataW                                        1          1          1
  Vars, width   214 __Vdly__SimTop.core.dataE_nxt                            1
  Vars, width   214 __Vdly__SimTop.core.dataM_nxt                            1
  Vars, width   224 __Vtemp18                                                                      1          1
  Vars, width   302 SimTop.__Vcellinp__mux__ireqs                            1          1          1
  Vars, width   342 SimTop.core.dataD                                        1          1          1
  Vars, width   342 SimTop.core.dataD_nxt                                    1          1          1
  Vars, width   342 __Vdly__SimTop.core.dataD_nxt                            1
  Vars, width   352 __Vtemp1                                                                       1          1
  Vars, width  2048 SimTop.core.regfile.regs                                 1          1          1
  Vars, width  2048 SimTop.core.regfile.regs_nxt                             1          1          1
  Vars, width  2048 __Vdly__SimTop.core.regfile.regs                         1
